"file","functions","variables","packages","reads","writes","sources"
"01_compute_NSV_trajectoriesVER2_Works.R","get_script_dir, locate_utils_io, ts_stamp, mad_robust, safe_scale, cor_robust, effective_dimensionality, frobenius_cosine_similarity, compute_D, compute_O, residualize_day, remove_top_pcs, select_top_var, compute_nsv_table, subsample_equal_n, plot_panel","get_script_dir, args, file_arg, script_path, locate_utils_io, sd, candidates, ok, utils_io_path, time_col, id_col, apply_log2_fpkm1, n_boot, use_shrinkage_if_available, use_parallel, parallel_workers, min_sd, top_var_features, n_subsample, latent_k_grid, ts_stamp, mad_robust, safe_scale, nr, s, keep, X, cor_robust, effective_dimensionality, ev, frobenius_cosine_similarity, num, den, compute_D, per_gene, compute_O, Z, m, extreme, residualize_day, day_f, M, Xt, beta, resid, remove_top_pcs, sv, scores, B, nuisance, select_top_var, v, compute_nsv_table, days, nsv, R_by_day, d, idx, Xt2, R, Rprev, Rcur, common, sim, v1, v2, n1, n2, cosang, subsample_equal_n, idx_keep, X2, day2, inputs_meta, out_meta, out_root, log_path, infile, infile_name, stem, outdir, df, day_raw, day, bad, sample_id, qc_lines, tab_day, days_sorted, deltas, sd_all, n_min, modes, X_resid, Xk, all_results, all_subsample, Xm, mode_ok, mode_err, sub_tbls, sub, summ, mat, plot_panel, x, y, lo, hi, mode_to_plot, nsv_raw, readme","stats, utils, future, future.apply",NA,"write.csv(nsv, write.csv(summ",NA
"BridgingGenes_Post-Processingver3.R","quiet_install_if_missing, resolve_script_path, choose_directory, get_module_sets, jaccard_one, flatten_agg, shannon_entropy, read_annotation_table, get_deps, build_file_inventory","enable_plotly, enable_runtime_tracking, enable_module_function_annotation, max_module_function_terms, start_time, quiet_install_if_missing, base_required, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, choose_directory, analysis_name, run_timestamp, run_id_base, outputs_root, output_dir, k, candidate, run_id, in_dir, in_dir_name, path_summary, path_long, path_roles, path_annot1, path_annot2, input_exists, summary, integrated_long, used_per_day_fallback, per_day_files, dfs, needed_cols, missing_cols, betweenness_quantile, bw_cut, bw_cut_source, roles, bw_nonzero, split_by_gene, traj_strings, df, volatility, q, n_transitions, gene_role_stability, n, dom_frac, trans_rate, stab, tab, n_trans, quad_counts, day_comp, merged_summary, days_present, day_pairs, quad_lookup, transition_long_all, transition_wide_files, all_quadrants, d1, d2, x1, x2, m, tl, out_wide, transition_long, get_module_sets, jaccard_one, a, inter, uni, module_match_results, df1, df2, m1, m2, mod1_ids, mod2_ids, rows, best_j, best_m2, best_inter, best_uni, best_a, best_b, b, j, retention, recovery, overlap_coef, module_persistence, module_persistence_summary, flatten_agg, out, v, mat, mat2, module_persistence_summary_flat, shannon_entropy, day_regime, n_genes, n_mods, mean_deg, med_deg, mean_bw, med_bw, mean_p, med_p, qc, qprop, integration_index, ent, ent_norm, regime_label, module_function_summary, module_function_source, read_annotation_table, f, ann, cat_col, ann_tbl, tmp, d, cmt, topn, out_long_q, out_traj, out_vol, out_qcnt, out_dcomp, out_merge, out_gene_stab, out_trans_long, out_mod_persist, out_mod_persist_sum, out_day_regime, out_mod_func, plotly_rds_files, p1_png, p1_rds, p1, integrator_days, top_k, integrator_top, p2_png, p2_rds, p3_png, p3_rds, dr, dr_long, p4_png, p4_rds, mp, p4, get_deps, ver, build_file_inventory, info, inv, end_time, runtime_seconds, deps_pkgs, deps_df, output_expected, output_exists, manifest, manifest_json_path, manifest_files_csv_path, report_qmd_path, report_html_path, qmd_lines, render_ok, render_err, quarto_bin, old_wd2, args, res, status","jsonlite, rmarkdown, knitr, tools, ggplot2, plotly, htmltools","read.csv('BridgingGenes_Integrated_Long_AllDays_WithQuadrants.csv, read.csv('BridgingGenes_DayLevel_NetworkRegime_Summary.csv, read.csv('BridgingGenes_QuadrantComposition_ByDay.csv, read.csv('BridgingGenes_GeneRoleStabilityIndex.csv, read.csv('BridgingGenes_QuadrantVolatility_ByGene.csv, read.csv('BridgingGenes_TransitionMatrix_Quadrants_AllTransitions_Long.csv, read.csv('BridgingGenes_ModulePersistence_Jaccard_BestMatch_ByTransition.csv, read.csv('BridgingGenes_ModulePersistence_Summary_ByTransition.csv, read.csv('BridgingGenes_ModuleFunctionalAnnotation_Summary.csv, read.csv('BridgingGenes_QuadrantTrajectories_ByGene.csv, read.csv('Project_Manifest_Files.csv","write.csv(data.frame(From_Quadrant = rownames(tab), write.csv(integrated_long, write.csv(traj_strings, write.csv(volatility, write.csv(quad_counts, write.csv(day_comp, write.csv(merged_summary, write.csv(gene_role_stability, write.csv(transition_long, write.csv(module_persistence, write.csv(module_persistence_summary_flat, write.csv(day_regime, write.csv(module_function_summary, write.csv(data.frame(
    Day = integer(), write.csv(data.frame(path=character(), write.csv(inv",NA
"BuildCoorelationMAtrixfromdELTA_DElTA 2.R",NA,"infile, method, df, mat, gene_ids, X, day_cols, ord, D, ok, v, D2, C, dist_mat","dplyr, tidyr",NA,"write.csv(as.matrix(dist_mat)",NA
"BuildCoorelationMAtrixfromdELTA_DElTA.R",NA,"infile, method, df, mat, gene_ids, X, day_cols, ord, D, ok, v, D2, C, dist_mat","dplyr, tidyr",NA,"write.csv(as.matrix(dist_mat)",NA
"Change_Point_Directionv4ErrorBarsV4wthHTML.R","ts_stamp, arg_val, is_nonempty_string, stop2, prompt_int, prompt_yesno, prompt_string, make_logger, resolve_script_path, read_script_header, register_input, register_output, deps_table, write_manifest_json, write_files_inventory, detect_amoc_split_day, calc_neff_from_matrix, make_day_matrix, pick_argmin_day, piecewise_break_day, excursion_day, resample_DT_within_day, compute_day_metrics, write_qmd_report, render_qmd_to_html, wide_mat, write_transition_driver_tables_all_pairs","enable_plotly, enable_runtime_tracking, start_time, pkgs, missing, ts_stamp, arg_val, args, hit, is_nonempty_string, stop2, prompt_int, x, v, prompt_yesno, def, prompt_string, make_logger, stamp, line, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, read_script_header, script_header_text, outputs_root, register_input, register_output, deps_table, ok, write_manifest_json, write_files_inventory, files, rel, info, dt, detect_amoc_split_day, y2, fit, cp, calc_neff_from_matrix, X, s, ev, make_day_matrix, dd, W, M, pick_argmin_day, piecewise_break_day, y, n, cand_idx, sse_best, best_idx, tb, t, Ileft, Iright, yhat, sse, excursion_day, resample_DT_within_day, DT_by_day, out, d, DD, sids, draw, map, tmp, compute_day_metrics, DT0, gd, nz, m, keep_days_chr, cvw, iqrw, cvm, iqrm, miss, m_cv, m_iqr, eff, write_qmd_report, qmd, render_qmd_to_html, B_TOTAL, CORES, USE_LOG1P, MIN_NONZERO, PENALTY, MINSEGLEN, SOURCE, analysis_name_arg, analysis_name, run_id, output_dir, manifest_json_path, manifest_files_csv, logfile, logf, infile_arg, infile, DT, req, days_vec, rep_counts, obs, day_metrics, out_table1, obs_canal_cv, obs_canal_iqr, obs_infl_cv, obs_infl_iqr, obs_infl_eff, obs_exc_cv, obs_exc_iqr, obs_exc_eff, obs_amoc_cv, obs_amoc_iqr, obs_amoc_eff, genes_univ, D, boot_vals, boot, DTb, bm, eff_mat, Bootstrap_EffDim_ByDay, out_effdim, out_boot_raw, ci_dt, out_ci, summ, out_t2, out_t3, out_t4, out_t5, DT2, gd_full, wide_mat, cvM, meanM, write_transition_driver_tables_all_pairs, d1, d2, idx1, idx2, delta_mean, DTt, pos, neg, out_path, canal_day, idx, drop_in, stays, score, DTd, out_t6, cand_infl, infl_day, out_t7, ci_dt_plot, anno, p1, out_plot, deps_needed, deps_dt, run_timestamp, end_time, runtime_seconds, manifest, qmd_path, html_path, params_list, render_res, render_ok, inv_dt","data.table, matrixStats, changepoint, ggplot2, jsonlite, knitr, rmarkdown, plotly, htmlwidgets",NA,NA,NA
"cov_PCA_HierCluserver2.R","need_pkg, safe_name, mk, norm_abs, stop_schema, ask_choice, ask_numeric, build_feature_by_day_matrix, run_pca_and_cluster, save_pca_tables, plot_pca2, plot_dendro, q","need_pkg, have_quarto, set_seed, coverage_threshold, cv_eps, hc_method, k_clusters_mean, k_clusters_cov, k_clusters_mad, k_clusters_madresid, min_reps_dispersion, do_all_sources_combined, trend_eps, loess_span, min_features_for_trend, safe_name, mk, norm_abs, stop_schema, missing_cols, extra_cols, ask_choice, ans, ask_numeric, val, infile, transform_choice, pseudocount, transform_label, base_out_dir, timestamp, script_name, run_dir, tables_dir, plots_dir, report_dir, required_cols, df_raw, bad_id, tidy, sources, byday_list, ii, dsrc, days, mets, dmet, v, n, mu, va, sdv, cv, madv, byday_df, dsrc_idx, idx, sub, ok, x, y, fit, yhat, resid, out, byday_path, diag_list, di, ok_mad, ok_res, cor_mean_mad_p, cor_mean_res_p, cor_mean_mad_s, cor_mean_res_s, diag_df, diag_path, build_feature_by_day_matrix, value_col, df, mat, keep, run_pca_and_cluster, keep_cols, mat2, cc, mat3, pca, hc, clusters, save_pca_tables, scores, loadings, ve, ve_df, plot_pca2, xlab, ylab, r, ord, pick, plot_dendro, results_index, ri, MeanMat, CoVMat, MADMat, MRMat, mean_res, cov_res, mad_res, mr_res, index_df, df_all, rowkeys, daynames, MeanAll, CoVAll, MADAll, MRAll, rk, dk, keep_m, keep_c, keep_a, keep_r, mean_all, cov_all, mad_all, mr_all, qmd_path, html_path, q, qmd_lines, old","tools, knitr",NA,"write.csv(byday_df, write.csv(diag_df, write.csv(scores, write.csv(loadings, write.csv(ve_df, write.csv(MeanMat, write.csv(CoVMat, write.csv(MADMat, write.csv(MRMat, write.csv(data.frame(Metabolite = names(mean_res$clusters), write.csv(data.frame(), write.csv(data.frame(Metabolite = names(cov_res$clusters), write.csv(data.frame(Metabolite = names(mad_res$clusters), write.csv(data.frame(Metabolite = names(mr_res$clusters), write.csv(index_df, write.csv(MeanAll, write.csv(CoVAll, write.csv(MADAll, write.csv(MRAll",NA
"Cross-Correlation Analysis for Developmental Time-Series Data.R","timestamp_now, normalize_slash, safe_dir_create, rstudio_select_file, rstudio_select_dir, get_script_path, read_table_auto, safe_cor_stats, perm_p_cor, align_lag, suggest_workers, benchmark_workers, compute_gene_tests","timestamp_now, normalize_slash, safe_dir_create, rstudio_select_file, rstudio_select_dir, get_script_path, cmdArgs, fileArg, read_table_auto, first, sep, df, safe_cor_stats, method, ok, x, n, r, tval, pval, perm_p_cor, r_obs, r_null, align_lag, L, y, days, kk, suggest_workers, avail, n_tasks, frac, w, benchmark_workers, candidates, out, t0, in_path, run_name, base_out, ts, output_dir, transform_choice, pseudocount, transform_label, pc_in, daily_stat, target_gene, max_abs_lag, lags_steps, sampling_interval_days, perm_B, set_seed, mode_sel, query_genes_user, gl, required_cols, missing_cols, diffs, agg_fun, daily, daily_out, daily_wide, all_genes, query_genes, Y, day_vec, dY, dY_day, compute_gene_tests, X, dX, rows, k, al, x_al, pear, spear, p_perm_pear, p_perm_spear, workers_suggested, w_mode, workers_in, w_in, pilot_n, pilot_genes, cands, bench, res_list, res, out_all, res_lag0, out_lag0, best_by_absr, d, out_best, fig_dir, script_path, script_path_norm, script_name, script_full, header_block, Lh, keep, line, qmd_title, qmd_file, qmd_base, report_lines, old_wd, html_path",NA,NA,"write.csv(daily, write.csv(res, write.csv(res_lag0, write.csv(best_by_absr",NA
"Cross-Correlation Analysis for Developmental Time-Series DataV2.R","timestamp_now, normalize_slash, safe_dir_create, rstudio_select_file, rstudio_select_dir, get_script_path, read_table_auto, safe_cor_stats, seed_from_key, perm_p_cor, align_lag, suggest_workers, benchmark_workers, score_pair, compute_pair_all_lags, process_one_target","timestamp_now, normalize_slash, safe_dir_create, rstudio_select_file, rstudio_select_dir, get_script_path, cmdArgs, fileArg, read_table_auto, first, sep, df, safe_cor_stats, method, ok, x, n, r, tval, pval, seed_from_key, key, v, s, perm_p_cor, r_obs, r_null, align_lag, L, y, days, kk, suggest_workers, avail, n_tasks, frac, w, benchmark_workers, candidates, out, t0, in_path, run_name, base_out, ts, output_dir, transform_choice, pseudocount, transform_label, pc_in, daily_stat, run_mode, target_gene, max_abs_lag, lags_steps, sampling_interval_days, perm_B, set_seed, shortlist_enable, shortlist_method, shortlist_k, shortlist_score_rule, sm, k_in, sr, required_cols, missing_cols, agg_fun, daily, daily_out, daily_wide, all_genes, day_vec, d_day, score_pair, al, st, best, sc, compute_pair_all_lags, rows, k, x_al, pear, spear, seed_p, seed_s, p_perm_pear, p_perm_spear, target_genes, tasks_n, workers_suggested, w_mode, workers_in, process_one_target, Y, dY, query_genes, shortlist_df, scores, X, dX, out_list, g, res_df, m, w_in, pilot_n, pilot_targets, cands, bench, shortlists, results_list, res, shortlist_out, shortlist_df_all, out_all, res_lag0, out_lag0, best_by_absr, d, out_best, fig_dir, script_path, script_path_norm, script_name, header_block, Lh, keep, line, qmd_title, qmd_file, qmd_base, report_lines, old_wd, html_path",NA,NA,"write.csv(daily, write.csv(shortlist_df_all, write.csv(res, write.csv(res_lag0, write.csv(best_by_absr",NA
"CytoscapeSmall-Multiples_NetworkBuilder.R","quiet_install_if_missing, resolve_script_path, choose_directory, choose_file_optional, choose_file, infer_day_from_filename, read_corr_matrix, matrix_to_edges, get_deps, build_file_inventory","enable_plotly, enable_runtime_tracking, start_time, quiet_install_if_missing, base_required, resolve_script_path, p, ca, file_arg, p2, p3, known_script_filename, known_script_stem, script_full, script_name, script_path, choose_directory, choose_file_optional, choose_file, analysis_name, run_timestamp, run_id_base, outputs_root, output_dir, k, candidate, run_id, full_abs_r_threshold, full_top_edges_per_day, bridging_abs_r_threshold, bridging_top_edges_per_day, use_upper_triangle_only, corr_dir, pattern, mat_files, infer_day_from_filename, m, reg, days, bad, ord, bg_path, bridging_genes, bg_nodes, out_full_dir, out_brid_dir, out_nodes_dir, read_corr_matrix, df, rn, mat_df, mat, matrix_to_edges, common, keep, edges, all_full_genes, all_brid_genes, edges_written_full, edges_written_brid, f, day, edges_full, out_full, edges_brid, mat_b, out_brid, nodes_full, nodes_brid, keep_cols, bg_sub, out_nodes_full, out_nodes_brid, get_deps, out, ver, build_file_inventory, info, inv, end_time, runtime_seconds, deps_pkgs, deps_df, input_exists, output_expected, output_exists, manifest, manifest_json_path, manifest_files_csv_path, report_qmd_path, report_html_path, qmd_lines, render_ok, render_err, quarto_bin, old_wd, args, res, status","jsonlite, knitr, tools, rmarkdown","read.csv('Project_Manifest_Files.csv","write.csv(edges_full, write.csv(edges_brid, write.csv(nodes_full, write.csv(nodes_brid, write.csv(data.frame(path=character(), write.csv(inv",NA
"Delata_Delta_Grouping Comparison 2.R","msg, timestamp_string, norm_path, safe_dir_create, pick_file, choose_from_list, choose_column, get_script_identity, to_json_safe, setup_output_dir, read_csv_strict, build_delta_profiles, filter_delta_matrix, method_timing_groups, method_sign_patterns, sign_code, safe_cor, method_network_communities, mean_upper_tri, method_pathway_coherence, write_contingency, build_and_render_report, esc","msg, have_rstudioapi, have_igraph, have_quarto, SET_SEED, timestamp_string, norm_path, safe_dir_create, pick_file, p, choose_from_list, ans, k, choose_column, cols, idx, get_script_identity, script_full, args, file_arg, to_json_safe, sp, s, nms, parts, setup_output_dir, run_name, ts, out_dir, read_csv_strict, build_delta_profiles, day, gene, val, days, genes, X, key, agg, keys, spl, g, d, D, filter_delta_matrix, ok, v2, method_timing_groups, timing_transition, max_abs_delta, method_sign_patterns, sign_code, pat, safe_cor, C, method_network_communities, build, assignments, edges_out, n, edges, r, rr, ord, nbrs, E, cl, memb, mean_upper_tri, method_pathway_coherence, all_genes, map_df, pathways, res, Cobs, obs, null, gset, Cn, p_hi, z, out, write_contingency, tab, m, build_and_render_report, qmd_name, qmd_path, esc, qmd_lines, html_path, old_wd, qmd_rel, note, fallback, input_file, df, day_col, gene_col, val_col, use_pathway, pathway_file, eps_flat, min_trans, cor_method, net_build, net_topk, net_thr, path_nullB, od, output_dir, tables_dir, fig_dir, man_dir, rep_dir, built, delta_csv, timing_df, timing_out, sign_df, sign_out, net, net_out, edge_out, path_out, path_df, path_note, assign, m1, m2, m3, assign_out, tim_tab, pat_tab, topN, com_tab, showN, ident, inventory_path, inv, params, manifest, manifest_json, deps, script_header, qr",NA,NA,"write.csv(out, write.csv(data.frame(Source = rownames(D), write.csv(timing_df, write.csv(sign_df, write.csv(net$assignments, write.csv(net$edges, write.csv(path_df, write.csv(assign",NA
